time,RLQRD_state_norm,LQR_state_norm,RLQR_state_norm,Hinf_state_norm,AEM_state_norm,RLQRD_input_norm,LQR_input_norm,RLQR_input_norm,Hinf_input_norm,AEM_input_norm,disturbance_norm
0.37,0.002009300352019694,0.0001485307392428743,0.0001485268576762515,0.0001485670273157984,1.4284803415178592e-05,4.672833278756703,0.00012522353819797592,0.0005048319630755793,2.7530782252950156e-07,0.7122093596433603,1.5328412693559424e-05
0.38,0.002085814355997651,0.00016382523986738074,0.00016381682400118367,0.00016386872316363153,1.5367482822018894e-05,4.764306678556519,0.00013745589784229352,0.0005560240999580513,3.016063079879184e-07,0.7661857518780203,1.645875277943468e-05
0.39,0.002162954371272596,0.0001802471421526628,0.00018023297670829275,0.00018029900632636,1.650084688758442e-05,4.855715179939802,0.00015050900742398325,0.0006108571740485084,3.29685158439558e-07,0.8226888423001139,1.7640505229788097e-05
0.4,0.002240663834015014,0.0001978476317518657,0.0001978262985847017,0.00019790921895806448,1.768576758885822e-05,4.9470538668014505,0.00016441257564470496,0.0006694820902959513,3.596184522665889e-07,0.8817620981227404,1.887451501761922e-05
0.41000000000000003,0.002318885093826861,0.00021667872150352122,0.0002166485769161308,0.00021675154604833993,1.8923092413857503e-05,5.038318189276772,0.00017919627603001252,0.0007320512226072888,3.91481419081737e-07,0.9434477657915051,2.016160234181799e-05
0.42,0.0023975594520022976,0.0002367932255013332,0.00023675237597328895,0.00023687899056593114,2.0213644006005673e-05,5.1295039303115555,0.00019488971514440123,0.000798718317366945,4.253504071583357e-07,1.0077868532533676,2.1502562283496008e-05
0.43,0.0024766271994434005,0.00025824473278415695,0.0002581910090687978,0.0002583453482620914,2.155821981950239e-05,5.220607175784679,0.0002115224011450767,0.0008696383974137243,4.6130285007064445e-07,1.074819112774121,2.2898164473188893e-05
0.44,0.0025560276543013906,0.0002810875806570027,0.0002810185101964361,0.0002812051821444413,2.2957591785589446e-05,5.311624287755954,0.0002291237126851231,0.0009449676664793249,4.994172325896796e-07,1.1445830242993529,2.43491527688541e-05
0.45,0.002635699199405126,0.00030537682765385924,0.00030528960526453433,0.00030551379663203073,2.441250598963738e-05,5.402551880469077,0.0002477228681764264,0.0010248634140929984,5.397730558768651e-07,1.217115779355111,2.585624494461079e-05
0.46,0.0027155793195308207,0.00033116822615312467,0.0003310596829354058,0.00033132721140225255,2.5923682358999863e-05,5.493386798788375,0.00026734889542240966,0.0011094839209569625,5.824508020151536e-07,1.2924532654855954,2.742013239018696e-05
